second,Volt
0.1695,-0.296985
0.172,0.144221
0.1745,0.09598
0.177,-0.048241
0.1795,0
0.182,0.007538
0.1845,-0.09598
0.187,0.176382
0.1895,-0.088442
0.192,-0.337186
0.1945,0.144221
0.197,-0.11206
0.1995,-0.023618
0.202,0
0.2045,-0.023618
0.207,-0.088442
0.2095,-0.128141
0.212,0.40201
0.2145,0.200503
0.217,0.128141
0.2195,0
0.222,-0.01608
0.2245,-0.01608
0.227,0.039698
0.2295,0.039698
0.232,0.136181
0.2345,0.313065
0.237,0.176884
0.2395,-0.120101
0.242,0.09598
0.2445,-0.040201
0.247,0.01608
0.2495,0.055779
0.252,-0.048241
0.2545,0.160302
0.257,-0.473869
0.2595,-0.224623
0.262,-0.064322
0.2645,-0.056281
0.267,0.01608
0.2695,-0.023618
0.272,0
0.2745,0.09598
0.277,0.200503
0.2795,0.224623
0.282,0.128141
0.2845,-0.128643
0.287,0.079899
0.2895,0.023618
0.292,-0.023618
0.2945,-0.071859
0.297,-0.120603
0.2995,0.11206
0.302,0.305025
0.3045,0.120101
0.307,-0.11206
0.3095,0.040201
0.312,-0.055779
0.3145,-0.023618
0.317,0.063819
0.3195,0.09598
0.322,-0.208543
0.3245,0.425628
0.327,-0.11206
0.3295,0.015578
0.332,-0.079899
0.3345,0.015578
0.337,0.031658
0.3395,-0.015578
0.342,0.023618
0.3445,-0.079899
0.347,-0.297487
0.3495,0.160804
0.352,0.079899
0.3545,-0.031658
0.357,0.039698
0.3595,-0.032161
0.362,0.071859
0.3645,0.120101
0.367,0.120101
0.3695,-0.345226
0.372,0.184422
0.3745,0.024121
0.377,0.047739
0.3795,-0.01608
0.382,-0.015578
0.3845,-0.040201
0.387,0.10402
0.3895,-0.216583
0.392,0.240704
0.3945,-0.200503
0.397,0.120101
0.3995,-0.047739
0.402,-0.031658
0.4045,0
0.407,0.015578
0.4095,0.01608
0.412,0.10402
0.4145,-0.377387
0.417,0.184925
0.4195,0.023618
0.422,0.039698
0.4245,-0.015578
0.427,0.031658
0.4295,-0.09598
0.432,0.08794
0.4345,0.136181
0.437,-0.401508
0.4395,0.047739
0.442,-0.11206
0.4445,0
0.447,0.031658
0.4495,-0.023618
0.452,0.064322
0.4545,0.039698
0.457,-0.152261
0.4595,0.409548
0.462,0.160302
0.4645,-0.031658
0.467,0.055779
0.4695,-0.007538
0.472,-0.047739
0.4745,0.024121
0.477,-0.079899
0.4795,-0.09598
0.482,-0.152764
0.4845,-0.128141
0.487,-0.08794
0.4895,0.031658
0.492,0.015578
0.4945,0.015578
0.497,-0.071859
0.4995,0.032161
0.502,-0.079899
0.5045,-0.417588
0.507,0.11206
0.5095,-0.064322
0.512,-0.040201
0.5145,0.01608
0.517,-0.039698
0.5195,-0.015578
0.522,0.10402
0.5245,0.024121
